CASRN,LD50_avg,Toxic_avg-0,Toxic_avg-1,EPA_avg-1,EPA_avg-2,EPA_avg-3,EPA_avg-4,Toxic,EPA_Category,Toxic_zones,EPA_zones,Integrated_zones,model,logLD50_mmolkg,Toxic(Exp),EPA_category(Exp)
152-97-6,-0.055,0.708,0.292,0.089,0.08,0.698,0.132,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,-0.187,1.0,2.0
64204-49-5,0.44,0.208,0.792,0.059,0.265,0.623,0.054,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.02,1.0,2.0
58262-44-5,0.783,0.542,0.458,0.076,0.147,0.57,0.208,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,0.098,1.0,2.0
56287-74-2,0.083,0.233,0.767,0.032,0.458,0.445,0.065,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,-0.056,1.0,2.0
146-04-3,0.628,0.415,0.585,0.036,0.212,0.632,0.12,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,0.055,1.0,2.0
17578-41-5,-0.435,0.07,0.93,0.359,0.489,0.134,0.017,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,0.015,1.0,2.0
17751-70-1,-0.147,0.084,0.916,0.007,0.905,0.057,0.031,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,-0.2,1.0,2.0
17751-74-5,-0.149,0.038,0.962,0.01,0.922,0.053,0.015,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,-0.149,1.0,2.0
17751-78-9,-0.154,0.041,0.959,0.01,0.921,0.05,0.019,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,-0.183,1.0,2.0
18470-07-0,0.171,0.183,0.817,0.081,0.485,0.338,0.096,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,-0.047,1.0,2.0
20689-96-7,0.364,0.106,0.894,0.177,0.276,0.499,0.048,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,0.183,1.0,2.0
21270-01-9,0.075,0.132,0.868,0.014,0.757,0.186,0.043,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,-0.067,1.0,2.0
21270-05-3,-0.046,0.157,0.843,0.009,0.825,0.103,0.064,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,-0.216,1.0,2.0
21270-09-7,-0.098,0.087,0.913,0.01,0.876,0.082,0.031,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,-0.114,1.0,2.0
21270-13-3,-0.13,0.06,0.94,0.008,0.915,0.056,0.021,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,-0.15,1.0,2.0
21270-17-7,-0.107,0.084,0.916,0.009,0.878,0.087,0.027,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,-0.199,1.0,2.0
21270-24-6,-0.077,0.068,0.932,0.008,0.896,0.072,0.024,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,-0.097,1.0,2.0
2302-25-2,0.271,0.156,0.844,0.096,0.27,0.581,0.052,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.231,1.0,2.0
28416-66-2,0.383,0.168,0.832,0.055,0.361,0.53,0.054,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.01,1.0,2.0
321-14-2,0.813,0.29,0.71,0.026,0.17,0.682,0.122,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.161,1.0,2.0
37565-83-6,-0.43,0.15,0.85,0.11,0.679,0.171,0.04,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,-0.108,1.0,2.0
41814-78-2,0.559,0.238,0.762,0.016,0.322,0.568,0.093,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.121,1.0,2.0
545-06-2,0.371,0.193,0.807,0.048,0.602,0.275,0.076,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.238,1.0,2.0
62-53-3,0.806,0.078,0.922,0.02,0.206,0.75,0.024,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.429,1.0,2.0
6536-18-1,0.386,0.209,0.791,0.024,0.261,0.681,0.034,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,-0.179,1.0,2.0
69226-50-2,0.389,0.21,0.79,0.193,0.433,0.334,0.04,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,0.424,1.0,2.0
74680-56-1,0.5,0.255,0.745,0.073,0.256,0.61,0.061,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.014,1.0,2.0
82258-36-4,0.584,0.445,0.555,0.012,0.126,0.647,0.215,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,-0.116,1.0,2.0
91893-59-3,-0.205,0.086,0.914,0.181,0.707,0.083,0.029,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,-0.119,1.0,2.0
1763-23-1,-0.27,0.101,0.899,0.021,0.805,0.14,0.034,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,-0.299,1.0,2.0
693-07-2,0.383,0.355,0.645,0.226,0.202,0.466,0.106,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,0.306,1.0,2.0
40805-93-4,-0.588,0.109,0.891,0.424,0.371,0.164,0.041,Toxic,EPA 1,OutZone,InZone,HalfZone_B,Base Models,-0.088,1.0,2.0
88069-49-2,0.048,0.089,0.911,0.027,0.808,0.127,0.038,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,-0.029,1.0,2.0
56400-60-3,0.39,0.111,0.889,0.03,0.757,0.187,0.025,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.631,1.0,2.0
1229-35-2,-0.028,0.05,0.95,0.017,0.741,0.225,0.017,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,-0.057,1.0,2.0
2833-85-4,-0.249,0.111,0.889,0.247,0.387,0.343,0.022,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,-0.043,1.0,2.0
92398-48-6,0.551,0.229,0.771,0.027,0.66,0.224,0.089,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.304,1.0,2.0
77788-21-7,0.308,0.358,0.642,0.048,0.402,0.388,0.162,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,-0.021,1.0,2.0
13523-86-9,0.561,0.342,0.658,0.03,0.113,0.795,0.062,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.025,1.0,2.0
38194-50-2,0.113,0.36,0.64,0.123,0.239,0.526,0.112,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,-0.13,1.0,2.0
2669-32-1,-1.01,0.074,0.926,0.751,0.123,0.092,0.034,Toxic,EPA 1,OutZone,OutZone,OutZone,Base Models,-0.072,1.0,2.0
140-29-4,0.878,0.417,0.583,0.068,0.188,0.693,0.052,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,0.363,1.0,2.0
299-85-4,-0.29,0.065,0.935,0.229,0.5,0.252,0.018,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,-0.066,1.0,2.0
28808-62-0,0.511,0.509,0.491,0.055,0.179,0.607,0.158,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,0.072,1.0,2.0
50-44-2,0.473,0.174,0.826,0.027,0.374,0.527,0.072,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.26,1.0,2.0
25366-23-8,0.165,0.191,0.809,0.165,0.235,0.463,0.137,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,0.063,1.0,2.0
2058-52-8,-0.008,0.075,0.925,0.013,0.655,0.306,0.026,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,-0.089,1.0,2.0
475-83-2,0.094,0.113,0.887,0.042,0.32,0.596,0.042,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,-0.023,1.0,2.0
36417-16-0,0.358,0.463,0.537,0.07,0.29,0.517,0.124,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,-0.003,1.0,2.0
20917-49-1,0.599,0.111,0.889,0.081,0.151,0.722,0.045,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.299,1.0,2.0
873-74-5,0.546,0.166,0.834,0.08,0.434,0.464,0.022,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,0.379,1.0,2.0
7680-73-1,0.426,0.188,0.812,0.151,0.406,0.366,0.077,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,0.481,1.0,2.0
3328-33-4,-0.618,0.18,0.82,0.542,0.166,0.238,0.054,Toxic,EPA 1,OutZone,OutZone,OutZone,Base Models,0.043,1.0,2.0
1146-99-2,0.127,0.263,0.737,0.044,0.653,0.219,0.084,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.053,1.0,2.0
4410-48-4,-0.141,0.246,0.754,0.18,0.251,0.471,0.098,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,-0.051,1.0,2.0
120-08-1,0.924,0.587,0.413,0.032,0.073,0.801,0.094,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,0.151,1.0,2.0
129-03-3,0.074,0.055,0.945,0.018,0.831,0.126,0.025,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.011,1.0,2.0
85409-38-7,0.496,0.277,0.723,0.119,0.265,0.488,0.128,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,0.214,1.0,2.0
26485-73-4,0.281,0.194,0.806,0.022,0.344,0.563,0.071,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,-0.062,1.0,2.0
10140-94-0,-0.19,0.158,0.842,0.308,0.325,0.287,0.08,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,0.092,1.0,2.0
127-63-9,0.896,0.392,0.608,0.009,0.048,0.854,0.089,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.138,1.0,2.0
145783-14-8,0.311,0.218,0.782,0.086,0.276,0.568,0.07,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.049,1.0,2.0
16780-88-4,-0.031,0.078,0.922,0.101,0.786,0.094,0.019,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.079,1.0,2.0
20241-03-6,0.314,0.077,0.923,0.017,0.76,0.206,0.016,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.264,1.0,2.0
2274-11-5,0.52,0.28,0.72,0.024,0.515,0.301,0.161,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.246,1.0,2.0
24632-63-1,0.519,0.16,0.84,0.016,0.118,0.815,0.051,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,-0.013,1.0,2.0
32808-52-9,-0.191,0.149,0.851,0.024,0.755,0.186,0.035,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.008,1.0,2.0
4205-52-1,-0.542,0.095,0.905,0.249,0.598,0.131,0.022,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.016,1.0,2.0
4949-85-3,-0.326,0.139,0.861,0.501,0.077,0.398,0.023,Toxic,EPA 1,OutZone,OutZone,OutZone,Base Models,0.133,1.0,2.0
555-57-7,0.264,0.077,0.923,0.04,0.811,0.131,0.018,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.275,1.0,2.0
61-54-1,0.405,0.215,0.785,0.199,0.289,0.476,0.036,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,0.272,1.0,2.0
6753-24-8,0.373,0.159,0.841,0.008,0.31,0.61,0.071,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,-0.007,1.0,2.0
759-73-9,0.51,0.112,0.888,0.042,0.482,0.411,0.064,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,0.409,1.0,2.0
93144-68-4,0.244,0.269,0.731,0.022,0.333,0.586,0.06,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,-0.018,1.0,2.0
999-21-3,0.452,0.295,0.705,0.03,0.455,0.406,0.109,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,0.184,1.0,2.0
29128-69-6,0.287,0.103,0.897,0.018,0.356,0.578,0.047,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.02,1.0,2.0
113-92-8,-0.12,0.036,0.964,0.014,0.753,0.219,0.014,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.047,1.0,2.0
29098-15-5,0.453,0.525,0.475,0.01,0.203,0.563,0.225,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,-0.062,1.0,2.0
36001-88-4,-0.112,0.079,0.921,0.156,0.358,0.463,0.023,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,0.007,1.0,2.0
20977-50-8,0.204,0.309,0.691,0.034,0.27,0.632,0.065,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,-0.053,1.0,2.0
492-17-1,0.618,0.262,0.738,0.016,0.349,0.567,0.069,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.227,1.0,2.0
39004-94-9,-0.932,0.126,0.874,0.455,0.402,0.09,0.053,Toxic,EPA 1,OutZone,InZone,HalfZone_B,Base Models,-0.074,1.0,2.0
14899-36-6,0.014,0.771,0.229,0.046,0.041,0.671,0.242,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,-0.302,1.0,2.0
73384-60-8,0.051,0.255,0.745,0.043,0.505,0.3,0.152,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.04,1.0,2.0
2489-77-2,0.605,0.136,0.864,0.122,0.24,0.618,0.02,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.427,1.0,2.0
77-65-6,0.555,0.305,0.695,0.047,0.15,0.673,0.13,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.125,1.0,2.0
22316-71-8,0.36,0.388,0.612,0.028,0.244,0.613,0.115,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,-0.059,1.0,2.0
39515-40-7,-0.149,0.258,0.742,0.015,0.691,0.151,0.143,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,-0.072,1.0,2.0
153049-45-7,0.119,0.129,0.871,0.05,0.502,0.397,0.051,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.002,1.0,2.0
1190-53-0,0.789,0.306,0.694,0.018,0.212,0.663,0.107,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.309,1.0,2.0
302-41-0,-0.103,0.16,0.84,0.04,0.488,0.44,0.032,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,-0.129,1.0,2.0
50-48-6,0.2,0.088,0.912,0.017,0.48,0.477,0.026,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,0.062,1.0,2.0
55311-62-1,0.382,0.28,0.72,0.027,0.407,0.478,0.088,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,0.021,1.0,2.0
7203-91-0,0.231,0.215,0.785,0.051,0.485,0.412,0.052,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,0.219,1.0,2.0
824-78-2,0.401,0.143,0.857,0.03,0.643,0.277,0.051,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.362,1.0,2.0
144980-77-8,0.383,0.397,0.603,0.055,0.127,0.645,0.173,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,-0.092,1.0,2.0
60045-37-6,0.41,0.253,0.747,0.02,0.394,0.494,0.093,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,0.075,1.0,2.0
23456-94-2,0.204,0.068,0.932,0.051,0.621,0.308,0.02,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.29,1.0,2.0
62971-07-7,0.008,0.299,0.701,0.044,0.489,0.399,0.068,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,0.064,1.0,2.0
10108-56-2,0.704,0.263,0.737,0.013,0.365,0.546,0.075,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.327,1.0,2.0
49803-30-7,0.335,0.346,0.654,0.054,0.345,0.483,0.118,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,0.118,1.0,2.0
83130-01-2,-0.152,0.262,0.738,0.152,0.351,0.376,0.121,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,-0.083,1.0,2.0
29547-00-0,0.431,0.392,0.608,0.111,0.228,0.483,0.178,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,0.029,1.0,2.0
105628-07-7,0.42,0.263,0.737,0.03,0.506,0.384,0.081,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.061,1.0,2.0
20830-81-3,-0.488,0.097,0.903,0.206,0.688,0.061,0.045,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,-0.196,1.0,2.0
932-83-2,0.583,0.102,0.898,0.06,0.221,0.689,0.031,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.419,1.0,2.0
89648-76-0,0.319,0.511,0.489,0.082,0.308,0.363,0.247,Nontoxic,EPA 3,InZone,InZone,InZone,Base Models,-0.03,1.0,2.0
83-66-9,-0.153,0.399,0.601,0.273,0.198,0.248,0.281,Toxic,EPA 4,OutZone,InZone,HalfZone_B,Base Models,0.102,1.0,2.0
4549-43-3,0.153,0.066,0.934,0.118,0.572,0.274,0.035,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.531,1.0,2.0
2431-50-7,0.404,0.062,0.938,0.033,0.633,0.313,0.021,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.33,1.0,2.0
4636-83-3,0.276,0.441,0.559,0.069,0.17,0.594,0.167,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,-0.133,1.0,2.0
7203-92-1,0.236,0.106,0.894,0.067,0.549,0.365,0.019,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.287,1.0,2.0
98-94-2,0.617,0.17,0.83,0.05,0.397,0.516,0.038,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.437,1.0,2.0
109593-75-1,0.098,0.162,0.838,0.015,0.623,0.301,0.06,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,-0.11,1.0,2.0
1508-27-6,0.231,0.037,0.963,0.009,0.772,0.207,0.011,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.09,1.0,2.0
25726-97-0,0.467,0.24,0.76,0.044,0.225,0.616,0.115,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.207,1.0,2.0
37128-40-8,0.666,0.348,0.652,0.013,0.214,0.666,0.107,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.124,1.0,2.0
58-40-2,0.231,0.037,0.963,0.009,0.772,0.207,0.011,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.09,1.0,2.0
63717-18-0,-0.143,0.191,0.809,0.209,0.352,0.346,0.093,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,-0.058,1.0,2.0
959-52-4,0.513,0.363,0.637,0.036,0.252,0.478,0.234,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,0.147,1.0,2.0
24033-18-9,-0.061,0.132,0.868,0.129,0.606,0.215,0.05,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.045,1.0,2.0
81996-58-9,0.212,0.21,0.79,0.01,0.254,0.686,0.05,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,-0.07,1.0,2.0
7683-59-2,0.524,0.388,0.612,0.116,0.179,0.632,0.072,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.225,1.0,2.0
10457-90-6,-0.085,0.141,0.859,0.022,0.597,0.345,0.036,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,-0.068,1.0,2.0
119-65-3,0.701,0.267,0.733,0.028,0.436,0.457,0.079,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,0.445,1.0,2.0
4360-12-7,-0.141,0.246,0.754,0.18,0.251,0.471,0.098,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,0.042,1.0,2.0
16401-80-2,0.367,0.324,0.676,0.045,0.22,0.649,0.087,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.091,1.0,2.0
14008-79-8,0.281,0.108,0.892,0.02,0.459,0.479,0.042,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,0.027,1.0,2.0
83881-52-1,0.228,0.16,0.84,0.025,0.328,0.588,0.06,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,-0.028,1.0,2.0
100330-91-4,0.495,0.217,0.783,0.012,0.249,0.673,0.065,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.047,1.0,2.0
119-39-1,0.762,0.228,0.772,0.013,0.168,0.759,0.06,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.403,1.0,2.0
33235-96-0,0.21,0.059,0.941,0.017,0.452,0.507,0.024,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.11,1.0,2.0
71392-29-5,0.628,0.325,0.675,0.017,0.213,0.67,0.1,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.219,1.0,2.0
63610-08-2,-0.028,0.293,0.707,0.045,0.403,0.499,0.053,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,0.101,1.0,2.0
143-71-5,0.063,0.048,0.952,0.017,0.859,0.105,0.02,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.098,1.0,2.0
2990-22-9,0.312,0.377,0.623,0.048,0.41,0.363,0.179,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,-0.005,1.0,2.0
3415-57-4,0.211,0.291,0.709,0.081,0.476,0.346,0.097,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,0.072,1.0,2.0
63979-77-1,0.61,0.345,0.655,0.016,0.132,0.688,0.164,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.164,1.0,2.0
107-59-5,0.8,0.446,0.554,0.039,0.218,0.632,0.111,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,0.402,1.0,2.0
143-16-8,0.617,0.425,0.575,0.01,0.334,0.545,0.111,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,0.312,1.0,2.0
4549-44-4,0.672,0.117,0.883,0.034,0.24,0.666,0.059,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.465,1.0,2.0
99-92-3,0.85,0.244,0.756,0.007,0.222,0.745,0.026,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.45,1.0,2.0
89194-77-4,-0.058,0.118,0.882,0.019,0.758,0.178,0.045,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.074,1.0,2.0
2988-32-1,0.162,0.111,0.889,0.025,0.513,0.429,0.034,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.165,1.0,2.0
3819-00-9,0.295,0.26,0.74,0.016,0.247,0.702,0.035,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,-0.022,1.0,2.0
62295-52-7,0.266,0.233,0.767,0.03,0.261,0.642,0.067,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.049,1.0,2.0
111470-99-6,0.147,0.439,0.561,0.023,0.315,0.411,0.252,Toxic,EPA 3,InZone,InZone,InZone,Base Models,-0.017,1.0,2.0
2622-26-6,0.299,0.201,0.799,0.035,0.217,0.713,0.035,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.034,1.0,2.0
59729-31-6,0.099,0.099,0.901,0.037,0.767,0.151,0.044,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.027,1.0,2.0
1743-13-1,0.797,0.416,0.584,0.058,0.294,0.523,0.124,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,0.44,1.0,2.0
108-48-5,0.546,0.111,0.889,0.018,0.526,0.422,0.035,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.572,1.0,2.0
111-19-3,0.943,0.605,0.395,0.018,0.13,0.545,0.308,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.223,1.0,2.0
137927-74-3,0.309,0.172,0.828,0.025,0.455,0.455,0.065,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,0.133,1.0,2.0
16588-67-3,0.386,0.484,0.516,0.066,0.192,0.615,0.127,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,-0.029,1.0,2.0
2154-02-1,0.231,0.164,0.836,0.029,0.263,0.672,0.036,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.063,1.0,2.0
25237-06-3,0.316,0.191,0.809,0.022,0.545,0.358,0.076,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.179,1.0,2.0
3598-37-6,0.23,0.111,0.889,0.012,0.563,0.41,0.015,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.088,1.0,2.0
494-47-3,0.541,0.3,0.7,0.035,0.263,0.562,0.14,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.173,1.0,2.0
538-75-0,0.681,0.412,0.588,0.024,0.365,0.468,0.144,Toxic,EPA 3,InZone,InZone,InZone,Base Models,0.287,1.0,2.0
62708-54-7,0.206,0.132,0.868,0.179,0.348,0.42,0.054,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,0.332,1.0,2.0
700-07-2,0.599,0.24,0.76,0.019,0.355,0.541,0.085,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.387,1.0,2.0
869-01-2,0.568,0.116,0.884,0.032,0.369,0.528,0.072,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.44,1.0,2.0
98-57-7,0.766,0.306,0.694,0.022,0.193,0.715,0.07,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.322,1.0,2.0
36085-73-1,0.444,0.197,0.803,0.036,0.281,0.629,0.054,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.284,1.0,2.0
894-71-3,0.352,0.13,0.87,0.036,0.355,0.567,0.042,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.187,1.0,2.0
17756-81-9,0.417,0.269,0.731,0.145,0.345,0.474,0.036,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,0.447,1.0,2.0
542-56-3,0.763,0.361,0.639,0.025,0.385,0.412,0.178,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,0.599,1.0,2.0
594-72-9,0.361,0.202,0.798,0.217,0.275,0.409,0.099,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,0.455,1.0,2.0
6899-10-1,0.531,0.353,0.647,0.009,0.527,0.43,0.033,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,0.159,1.0,2.0
3671-00-9,0.214,0.14,0.86,0.122,0.365,0.474,0.039,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,0.314,1.0,2.0
24095-80-5,0.08,0.195,0.805,0.147,0.272,0.515,0.067,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.116,1.0,2.0
106635-81-8,0.254,0.372,0.628,0.027,0.163,0.665,0.145,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,-0.047,1.0,2.0
371-40-4,0.425,0.118,0.882,0.043,0.479,0.444,0.034,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,0.574,1.0,2.0
1091-11-8,0.466,0.159,0.841,0.023,0.267,0.645,0.064,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,0.173,1.0,2.0
1631-52-3,0.428,0.126,0.874,0.093,0.463,0.407,0.036,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,0.449,1.0,2.0
